                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.22363,                0.37776,                0.18925,                0.91772,                0.99896,                      1,                  0.995,                0.99392,                0.99896,                      1,                  0.995,                0.98938,                0.16922,                0.28213,                 0.2152,                0.60748,              0.0006536,              0.0006536,              0.0006536
                     71,                0.21508,                 0.3475,                0.18708,                0.91276,                0.99903,                      1,                  0.995,                  0.995,                0.99903,                      1,                  0.995,                0.99331,                0.15766,                 0.2774,                0.20155,                0.59952,              0.0006338,              0.0006338,              0.0006338
                     72,                0.21192,                0.36553,                0.18924,                0.90721,                0.99895,                      1,                  0.995,                  0.995,                0.99895,                      1,                  0.995,                 0.9927,                0.14178,                0.28525,                0.17422,                0.58183,               0.000614,               0.000614,               0.000614
                     73,                0.21034,                0.35807,                0.18594,                0.90954,                0.99888,                      1,                  0.995,                  0.995,                0.99888,                      1,                  0.995,                0.99101,                  0.173,                0.28279,                0.23488,                0.61123,              0.0005942,              0.0005942,              0.0005942
                     74,                0.20644,                0.36323,                0.18316,                 0.9125,                0.99904,                      1,                  0.995,                  0.995,                0.99904,                      1,                  0.995,                0.98956,                0.16112,                0.27392,                0.23409,                0.59933,              0.0005744,              0.0005744,              0.0005744
                     75,                 0.2146,                0.39532,                 0.1931,                0.89775,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                0.99285,                0.14239,                0.27929,                0.18562,                0.58144,              0.0005546,              0.0005546,              0.0005546
                     76,                0.19576,                0.34058,                0.17726,                0.90146,                0.99902,                      1,                  0.995,                  0.995,                0.99902,                      1,                  0.995,                0.99155,                0.14602,                0.28837,                 0.2371,                0.58382,              0.0005348,              0.0005348,              0.0005348
                     77,                0.20947,                 0.3548,                0.18022,                0.90905,                0.99891,                      1,                  0.995,                  0.995,                0.99891,                      1,                  0.995,                0.98532,                0.15521,                 0.2838,                0.21809,                0.59607,               0.000515,               0.000515,               0.000515
                     78,                0.19665,                0.33146,                0.17402,                0.90445,                0.99896,                      1,                  0.995,                  0.995,                0.99896,                      1,                  0.995,                0.99029,                0.16113,                0.27298,                0.21515,                0.59076,              0.0004952,              0.0004952,              0.0004952
                     79,                0.21003,                0.34745,                0.18179,                0.90863,                0.99896,                      1,                  0.995,                  0.995,                0.99896,                      1,                  0.995,                0.99027,                0.16238,                 0.2775,                0.19586,                0.59714,              0.0004754,              0.0004754,              0.0004754
                     80,                0.21429,                0.34143,                0.18242,                0.92068,                0.99907,                      1,                  0.995,                  0.995,                0.99907,                      1,                  0.995,                0.98571,                0.14805,                0.26586,                0.15778,                0.58767,              0.0004556,              0.0004556,              0.0004556
                     81,                0.19906,                0.33665,                0.17904,                0.90621,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                 0.9913,                 0.1495,                0.28077,                0.18068,                0.58761,              0.0004358,              0.0004358,              0.0004358
                     82,                0.21224,                0.36209,                0.18565,                0.90405,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                0.99143,                0.14055,                0.27259,                0.17936,                0.58001,               0.000416,               0.000416,               0.000416
                     83,                0.19388,                0.32455,                0.16891,                0.90535,                0.99887,                      1,                  0.995,                  0.995,                0.99887,                      1,                  0.995,                0.98997,                0.13862,                0.27887,                0.18327,                0.57381,              0.0003962,              0.0003962,              0.0003962
                     84,                0.20318,                0.34605,                0.17395,                0.90579,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                 0.9906,                0.16202,                0.28224,                0.21461,                0.59406,              0.0003764,              0.0003764,              0.0003764
                     85,                0.19967,                0.35391,                0.17124,                0.90235,                0.99905,                      1,                  0.995,                  0.995,                0.99905,                      1,                  0.995,                 0.9881,                0.15049,                0.28233,                 0.2087,                 0.5859,              0.0003566,              0.0003566,              0.0003566
                     86,                0.19598,                0.34805,                 0.1712,                0.89802,                  0.999,                      1,                  0.995,                  0.995,                  0.999,                      1,                  0.995,                0.98761,                0.12679,                0.27937,                0.16889,                0.56359,              0.0003368,              0.0003368,              0.0003368
                     87,                0.19656,                0.33238,                0.16583,                0.90024,                0.99902,                      1,                  0.995,                  0.995,                0.99902,                      1,                  0.995,                0.99117,                0.13049,                0.27707,                0.16945,                0.56963,               0.000317,               0.000317,               0.000317
                     88,                0.21456,                0.34714,                0.18138,                 0.9083,                0.99899,                      1,                  0.995,                  0.995,                0.99899,                      1,                  0.995,                0.99332,                0.12949,                0.26309,                0.16317,                 0.5651,              0.0002972,              0.0002972,              0.0002972
                     89,                0.19848,                0.32642,                0.16365,                  0.897,                0.99885,                      1,                  0.995,                  0.995,                0.99885,                      1,                  0.995,                0.99128,                0.13594,                0.27114,                0.16994,                0.57025,              0.0002774,              0.0002774,              0.0002774
                     90,                0.19426,                0.33217,                0.16312,                0.90836,                 0.9989,                      1,                  0.995,                  0.995,                 0.9989,                      1,                  0.995,                0.99137,                0.14397,                0.28167,                0.18678,                 0.5789,              0.0002576,              0.0002576,              0.0002576
                     91,                 0.1227,                0.24535,                0.21782,                0.89676,                0.99896,                      1,                  0.995,                  0.995,                0.99896,                      1,                  0.995,                0.98891,                0.15786,                0.28505,                0.21331,                0.59247,              0.0002378,              0.0002378,              0.0002378
                     92,                0.10677,                0.21301,                0.14417,                0.86911,                0.99908,                      1,                  0.995,                  0.995,                0.99908,                      1,                  0.995,                 0.9869,                0.15994,                0.29652,                0.22826,                0.59955,               0.000218,               0.000218,               0.000218
                     93,                0.11121,                0.21824,                0.15523,                0.87459,                0.99906,                      1,                  0.995,                  0.995,                0.99906,                      1,                  0.995,                0.98891,                0.14343,                0.30141,                0.17697,                0.58141,              0.0001982,              0.0001982,              0.0001982
                     94,                0.09699,                0.20336,                0.14336,                0.87291,                0.99906,                      1,                  0.995,                  0.995,                0.99906,                      1,                  0.995,                 0.9926,                0.12878,                0.29117,                0.15716,                0.57021,              0.0001784,              0.0001784,              0.0001784
                     95,                0.08861,                0.21707,                0.13134,                0.85247,                0.99904,                      1,                  0.995,                  0.995,                0.99904,                      1,                  0.995,                0.99269,                0.12542,                0.28479,                 0.1823,                0.56075,              0.0001586,              0.0001586,              0.0001586
                     96,                0.09414,                0.21137,                0.12547,                0.86085,                0.99903,                      1,                  0.995,                  0.995,                0.99903,                      1,                  0.995,                0.99205,                0.13566,                0.28165,                0.17878,                0.56718,              0.0001388,              0.0001388,              0.0001388
                     97,                0.08505,                 0.2024,                0.11024,                0.84829,                0.99906,                      1,                  0.995,                  0.995,                0.99906,                      1,                  0.995,                0.99196,                0.12815,                0.27835,                0.18369,                0.56135,               0.000119,               0.000119,               0.000119
                     98,                0.10266,                 0.2348,                0.13779,                0.86608,                 0.9991,                      1,                  0.995,                  0.995,                 0.9991,                      1,                  0.995,                0.99177,                0.11217,                0.27494,                0.13195,                0.54414,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.08902,                0.20798,                0.11577,                0.85698,                 0.9991,                      1,                  0.995,                  0.995,                 0.9991,                      1,                  0.995,                0.99054,                0.10641,                0.27385,                0.13361,                0.54222,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.08958,                0.20567,                0.12175,                0.86493,                0.99908,                      1,                  0.995,                  0.995,                0.99908,                      1,                  0.995,                0.98988,                0.11952,                0.27734,                0.15104,                0.55543,               5.96e-05,               5.96e-05,               5.96e-05
